scheme,trial,signature_size_bytes,online_latency_ms,offline_latency_ms,verification_ms,attempts,communication_rounds,data_kb,throughput_sig_s,accepted
Standard Falcon-512,1,697,9.127888413862632,0.0,1.2246970836729325,1,1,1.2,109.55436292158087,1
Standard Falcon-512,2,686,7.281979837699263,0.0,1.373952594556899,1,1,1.2,137.32529096317154,1
Standard Falcon-512,3,678,9.461733425052445,0.0,1.3214461108857738,1,1,1.2,105.68887909611098,1
Standard Falcon-512,4,676,8.316858652902637,0.0,1.5869220184540114,1,1,1.2,120.23770533252885,1
Standard Falcon-512,5,681,8.072220867403878,0.0,1.3684439039277494,1,1,1.2,123.88164501767552,1
Standard Falcon-512,6,674,9.237799429549817,0.0,1.1905595242256415,1,1,1.2,108.25088892937056,1
Standard Falcon-512,7,674,9.936772876226355,0.0,1.5301931179347705,1,1,1.2,100.63629434386002,1
Standard Falcon-512,8,677,8.367491909443816,0.0,1.3498192345640572,1,1,1.2,119.51012451788192,1
Standard Falcon-512,9,648,8.839681950323788,0.0,1.2738423724798835,1,1,1.2,113.12624205482541,1
Standard Falcon-512,10,672,8.327297382935303,0.0,1.2634581107684086,1,1,1.2,120.08698068706516,1
Standard Falcon-512,11,679,8.534030241527653,0.0,1.1344529981222318,1,1,1.2,117.17793020393526,1
Standard Falcon-512,12,677,10.49762348620988,0.0,1.1341641911881695,1,1,1.2,95.25965579863309,1
Standard Falcon-512,13,680,8.342542350218906,0.0,1.2774103782632718,1,1,1.2,119.86753653983672,1
Standard Falcon-512,14,653,9.304645891000623,0.0,1.1123137081381986,1,1,1.2,107.47319260877964,1
Standard Falcon-512,15,665,5.853015303846661,0.0,1.3316917404320268,1,1,1.2,170.85210751845975,1
Standard Falcon-512,16,663,9.153705853515362,0.0,1.3894090472698735,1,1,1.2,109.24537187481975,1
Standard Falcon-512,17,675,9.362690685805152,0.0,1.4178775068811154,1,1,1.2,106.80690343814388,1
Standard Falcon-512,18,650,8.299760697545747,0.0,1.340946101596482,1,1,1.2,120.48540150027479,1
Standard Falcon-512,19,669,7.955433569266506,0.0,1.4656238159413686,1,1,1.2,125.70025144364324,1
Standard Falcon-512,20,661,5.988338378858529,0.0,1.0829102019155072,1,1,1.2,166.9912314124466,1
Standard Falcon-512,21,671,7.450161177173712,0.0,1.5171239813699515,1,1,1.2,134.22528401987665,1
Standard Falcon-512,22,668,9.782078162883105,0.0,1.483851403789687,1,1,1.2,102.22776626283536,1
Standard Falcon-512,23,685,7.239499668445396,0.0,1.280483437988623,1,1,1.2,138.131092727122,1
Standard Falcon-512,24,657,8.670296322549499,0.0,1.5658806463500201,1,1,1.2,115.3363117935455,1
Standard Falcon-512,25,682,8.38325580290553,0.0,1.2961723997187629,1,1,1.2,119.28539740531508,1
Standard Falcon-512,26,682,6.532562163749759,0.0,0.9833405549722767,1,1,1.2,153.07929338187722,1
Standard Falcon-512,27,685,9.522781468939801,0.0,1.21849708469555,1,1,1.2,105.01133552856095,1
Standard Falcon-512,28,665,8.960424928843745,0.0,1.3002048107978306,1,1,1.2,111.60185012889117,1
Standard Falcon-512,29,676,7.943627697198264,0.0,1.2390862848867727,1,1,1.2,125.88706798944044,1
Standard Falcon-512,30,678,8.857249912239316,0.0,0.950001257039037,1,1,1.2,112.90186117681499,1
Standard Falcon-512,31,648,8.38920993207833,0.0,1.1550914773334564,1,1,1.2,119.20073619522137,1
Standard Falcon-512,32,676,10.295013996073695,0.0,1.2193843188782463,1,1,1.2,97.13439927147056,1
Standard Falcon-512,33,668,10.31331766624889,0.0,1.3700531007653922,1,1,1.2,96.9620089636699,1
Standard Falcon-512,34,679,8.995980205193348,0.0,1.2641751575086355,1,1,1.2,111.16076038303235,1
Standard Falcon-512,35,681,9.74653495185243,0.0,1.226288927215068,1,1,1.2,102.60056573335733,1
Standard Falcon-512,36,674,7.50441067601756,0.0,0.9704552828664111,1,1,1.2,133.2549674014749,1
Standard Falcon-512,37,669,9.093102044955662,0.0,1.3972428994831307,1,1,1.2,109.97347165533498,1
Standard Falcon-512,38,663,6.643602899380667,0.0,1.3782840321031053,1,1,1.2,150.5207362850092,1
Standard Falcon-512,39,661,7.695859358828932,0.0,1.237964237541319,1,1,1.2,129.94000453669526,1
Standard Falcon-512,40,686,9.150346955822146,0.0,1.8575267581146644,1,1,1.2,109.28547352663213,1
Standard Falcon-512,41,660,8.391386225463123,0.0,1.354989682879847,1,1,1.2,119.16982166373944,1
Standard Falcon-512,42,676,8.393209973072006,0.0,1.4866106125638323,1,1,1.2,119.14392743757239,1
Standard Falcon-512,43,654,9.24014580185853,0.0,1.2876972138329519,1,1,1.2,108.22340052240989,1
Standard Falcon-512,44,668,9.56235050919533,0.0,1.5588274661171846,1,1,1.2,104.57679825042827,1
Standard Falcon-512,45,652,11.249344129199555,0.0,1.3119441627165123,1,1,1.2,88.89407138006675,1
Standard Falcon-512,46,664,8.973566930424816,0.0,1.1831394032528575,1,1,1.2,111.4384065726982,1
Standard Falcon-512,47,644,8.441663764166337,0.0,0.93753755915363,1,1,1.2,118.4600604734884,1
Standard Falcon-512,48,685,9.778486778397365,0.0,1.0720678028511672,1,1,1.2,102.26531186903071,1
Standard Falcon-512,49,669,7.367377620937141,0.0,1.6821296289130403,1,1,1.2,135.73350674439823,1
Standard Falcon-512,50,667,9.047951645813702,0.0,1.779618002039734,1,1,1.2,110.52225289717138,1
Standard Falcon-512,51,666,10.713850935700295,0.0,1.1367693418402645,1,1,1.2,93.33712089159624,1
Standard Falcon-512,52,658,8.833337019523324,0.0,1.1836832556828254,1,1,1.2,113.20749992780908,1
Standard Falcon-512,53,672,8.369784887667189,0.0,0.9169641813839136,1,1,1.2,119.47738363903379,1
Standard Falcon-512,54,661,7.376539785487445,0.0,0.9239133995408016,1,1,1.2,135.56491648935364,1
Standard Falcon-512,55,659,6.665647705205197,0.0,1.4845262682704423,1,1,1.2,150.02293013762204,1
Standard Falcon-512,56,658,9.952130179503643,0.0,1.350670139901123,1,1,1.2,100.48100074690487,1
Standard Falcon-512,57,688,9.864287000438766,0.0,1.3679533866628242,1,1,1.2,101.37580140921688,1
Standard Falcon-512,58,670,10.248121120435647,0.0,1.0717584817981862,1,1,1.2,97.57886233466863,1
Standard Falcon-512,59,676,8.584501229572053,0.0,0.9079525644981304,1,1,1.2,116.4890042248676,1
Standard Falcon-512,60,651,7.3958531958521405,0.0,1.1910576764616194,1,1,1.2,135.2109044783144,1
Standard Falcon-512,61,654,7.328868629524771,0.0,1.0139011009991148,1,1,1.2,136.44670829156934,1
Standard Falcon-512,62,669,8.57047270753277,0.0,1.0828395115002376,1,1,1.2,116.67967848740464,1
Standard Falcon-512,63,677,6.826917366964689,0.0,1.1554197006864182,1,1,1.2,146.47899575275062,1
Standard Falcon-512,64,649,7.632394644471124,0.0,1.0737546610550877,1,1,1.2,131.0204787070852,1
Standard Falcon-512,65,661,6.135126790816957,0.0,1.793880690155812,1,1,1.2,162.99581640216425,1
